dialogue_id	source_file	label	map	speaker	context	tags	text	notes	original_hash
data/event_scripts.s::gText_PokemartSign	data/event_scripts.s	gText_PokemartSign			PokemartSign		“Selected items for your convenience!”\nPOKéMON MART		cf9c9d5874257bb6
data/event_scripts.s::gText_PokemonCenterSign	data/event_scripts.s	gText_PokemonCenterSign			PokemonCenterSign		“Rejuvenate your tired partners!”\nPOKéMON CENTER		3e285056c9578e78
data/event_scripts.s::gText_MomOrDadMightLikeThisProgram	data/event_scripts.s	gText_MomOrDadMightLikeThisProgram			MomOrDadMightLikeThisProgram		{STR_VAR_1} might like this program.\n… … … … … … … … … … … … … … … …\pBetter get going!		aebb03842205d94f
data/event_scripts.s::gText_WhichFloorWouldYouLike	data/event_scripts.s	gText_WhichFloorWouldYouLike			WhichFloorWouldYouLike		Welcome to LILYCOVE DEPARTMENT STORE.\pWhich floor would you like?		a756edd7665e01f6
data/event_scripts.s::gText_SandstormIsVicious	data/event_scripts.s	gText_SandstormIsVicious			SandstormIsVicious		The sandstorm is vicious.\nIt's impossible to keep going.		e1603862c6ae8701
data/event_scripts.s::gText_SelectWithoutRegisteredItem	data/event_scripts.s	gText_SelectWithoutRegisteredItem			SelectWithoutRegisteredItem		An item in the BAG can be\nregistered to SELECT for easy use.		262ff381646c8917
data/event_scripts.s::gText_PokemonTrainerSchoolEmail	data/event_scripts.s	gText_PokemonTrainerSchoolEmail			PokemonTrainerSchoolEmail		There's an e-mail from POKéMON TRAINER\nSCHOOL.\p… … … … … …\pA POKéMON may learn up to four moves.\pA TRAINER's expertise is tested on the\nmove sets chosen for POKéMON.\p… … … … … …		2ced4b18ffeaf384
data/event_scripts.s::gText_PlayerHouseBootPC	data/event_scripts.s	gText_PlayerHouseBootPC			PlayerHouseBootPC		{PLAYER} booted up the PC.		e88eda96cd71058c
data/event_scripts.s::gText_PokeblockLinkCanceled	data/event_scripts.s	gText_PokeblockLinkCanceled			PokeblockLinkCanceled		The link was canceled.		80edaa0728a44a24
data/event_scripts.s::gText_UnusedNicknameReceivedPokemon	data/event_scripts.s	gText_UnusedNicknameReceivedPokemon			UnusedNicknameReceivedPokemon		Want to give a nickname to\nthe {STR_VAR_2} you received?		aa95bba9f80f9072
